ustime gx gy gz ax ay az
2317761641 -597 -1043 -8796 -661 -2912 -17726
2317768080 -212 -1366 -10109 -1670 -1621 -18360
2317774509 890 -1005 -11170 -2560 897 -18127
2317780958 1604 -1106 -11539 -256 -3094 -16298
2317787401 1807 -1198 -10707 5355 -5963 -14794
2317793852 1069 -549 -7896 9620 -7467 -12141
2317800288 -792 -356 -4865 4516 -3104 -15348
2317806723 -2001 320 -3529 1392 -1223 -15267
2317813158 -2455 1755 -3530 1284 -1580 -14588
2317819584 -2882 2798 -3763 1745 -2405 -11391
2317826022 -4410 4045 -4567 -109 -3539 -18137
2317832459 -2662 2782 -4914 1111 -4805 -19649
2317838893 -589 454 -3735 1100 -4163 -16658
2317845324 -5 -1727 -2957 416 -2608 -14826
2317851756 106 -3052 -2655 16 -1837 -14310
2317858198 97 -3771 -2584 556 -1762 -13574
2317864630 -521 -3616 -2583 967 -2285 -13387
2317871068 -1279 -3672 -2432 1453 -2980 -13744
2317877504 -1631 -4289 -2226 1702 -3647 -13977
2317883909 -1632 -4857 -2150 1628 -3773 -14136
2317890346 -1494 -5434 -2163 1221 -3949 -15036
2317896796 -1007 -6560 -2016 1480 -4771 -15925
2317903317 -646 -7920 -1545 3227 -4958 -16608
2317909756 -229 -8795 -1053 4894 -3903 -16370
2317916193 241 -7855 -1316 5817 -2487 -15348
2317922595 197 -5767 -1921 4799 -1396 -14693
2317929034 -499 -2459 -2633 3689 -1315 -14992
2317935469 -1181 -127 -2811 2401 -2504 -16898
2317941904 -1654 1554 -3255 434 -3858 -18257
2317948334 -1725 2970 -3712 -318 -4065 -18041
2317954778 -1529 3531 -4286 -701 -3730 -17637
2317961214 -1259 3353 -4473 -703 -3204 -17958
2317967640 -773 2340 -4583 1928 -4839 -18064
2317974082 777 690 -4538 -710 -3356 -18532
2317980519 1201 43 -4530 2439 -2381 -16258
2317986956 156 56 -3338 3410 -1907 -17310
2317993386 157 -635 -2589 4763 -1687 -18014
2317999815 390 -1538 -2024 4721 -1975 -18167
2318006220 454 -1941 -1586 3381 -2149 -18121
2318012650 388 -2196 -1267 2105 -3036 -17876
2318019087 -34 -2898 24 15 -3483 -16751
2318025523 -227 -3624 184 -1140 -4427 -15732
2318031959 -152 -3660 171 -170 -3765 -14691
2318038402 -413 -3136 -82 -709 -3791 -14718
2318044852 -312 -2223 -1012 -308 -3539 -15846
2318051285 -191 -457 -2541 2323 -2683 -16983
2318057725 -144 544 -2946 4131 -2661 -18489
2318064231 114 757 -2631 5064 -2721 -18847
2318070756 422 379 -1953 4771 -2397 -18032
2318077281 549 3 -1508 3614 -1946 -16572
2318083811 568 -302 -1258 2409 -2312 -15380
2318090344 547 -426 -1071 1211 -2542 -14756
2318096900 605 -585 -1063 166 -2690 -13789
2318103433 591 -582 -1155 -511 -2790 -12967
2318109932 518 -586 -1267 -351 -2599 -12366
2318116371 224 -794 -1192 233 -2394 -11914
2318122809 -104 -1257 -964 980 -2064 -11796
2318129248 -309 -2102 -503 1367 -2276 -12804
2318135705 -212 -2538 167 613 -2652 -14269
2318142140 -468 -3030 581 1821 -3165 -14115
2318148577 -387 -3373 1178 5019 1588 -11449
2318155014 -853 -3436 1930 2072 -2912 -18116
2318161445 -345 -3109 1249 881 -4201 -17892
2318167881 -690 -1829 189 -217 -4357 -21268
2318174316 34 -950 -459 326 -3768 -20004
2318180750 81 -198 -992 1688 -2740 -19696
2318187177 614 -187 -289 272 -3491 -20442
2318193580 592 -237 -683 1258 -4105 -18883
2318200028 310 112 -688 679 -3326 -19135
2318206459 480 222 -782 709 -2872 -17999
2318212890 607 325 -789 617 -3123 -16845
2318219328 575 278 -499 776 -3025 -15699
2318225904 419 52 -108 730 -3041 -15627
2318232382 457 -341 117 520 -2619 -13761
2318238854 -165 -414 90 657 -2226 -13159
2318245329 -345 -410 163 611 -2636 -14656
2318251814 -174 -549 205 481 -1993 -13328
2318258273 -319 -607 89 869 -1438 -14036
2318264758 -408 -610 -81 1296 -2416 -13629
2318271237 -509 -370 87 -135 -2031 -15306
2318277709 -370 -367 -63 -566 -2752 -14859
2318284170 -511 -132 -347 1589 -2853 -16843
2318290651 -40 -511 -322 648 -2578 -15728
2318297140 80 -27 -795 259 -2227 -15863
2318303619 326 358 -1011 1330 -2086 -17231
2318310092 839 377 -974 783 -2472 -16565
2318316577 655 667 -1170 391 -2644 -15533
2318323054 29 793 -1152 940 -2241 -16464
2318329526 116 506 -1009 748 -2063 -17458
2318335999 1101 160 -1307 259 -2174 -17658
2318342432 1669 -17 -1831 773 -1631 -14870
2318348909 325 415 -1605 759 -2136 -15202
2318355382 -595 668 -1013 193 -2823 -18116
2318361854 -130 449 -918 415 -2143 -16711
2318368333 -272 389 -674 355 -2348 -16722
2318374802 -299 269 -508 1330 -2437 -16865
2318381293 -271 18 -148 1322 -2393 -16556
2318387762 -196 -243 -26 1675 -2023 -16013
2318394236 -158 11 -150 1408 -1631 -15479
2318400710 -60 311 -330 1753 -1431 -15576
2318407195 -13 240 -332 1510 -1527 -15691
2318413671 144 11 -338 1302 -1054 -15775
2318420143 412 -7 -315 1300 -1299 -15185
2318426616 343 34 -492 738 -1438 -15554
